target_id	sequence_length	depth	bytes	server	queue_at_submission	elapsed_s	status	reason	recorded
29LI_1	123	1085	202721	https://api.colabfold.com	{"queued":0}	6	ok		2026-09-25T22:42:20+08:00
8KA7_1	124	2	266	https://api.colabfold.com	{"queued":7}	5	ok		2026-09-25T22:42:31+08:00
8QUP_1	124	221	41092	https://api.colabfold.com	{"queued":10}	5	ok		2026-09-25T22:42:42+08:00
8S4E_1	124	6876	1301524	https://api.colabfold.com	{"queued":8}	46	ok		2026-09-25T22:43:34+08:00
8K1W_1	125	4782	947656	https://api.colabfold.com	{"queued":13}	42	ok		2026-09-25T22:44:23+08:00
8Q78_1	125	11343	2144354	https://api.colabfold.com	{"queued":17}	71	ok		2026-09-25T22:45:40+08:00
8K9N_1	126	8262	1618967	https://api.colabfold.com	{"queued":15}	7	ok		2026-09-25T22:45:54+08:00
8Q53_1	126	6943	1318283	https://api.colabfold.com	{"queued":12}	6	ok		2026-09-25T22:46:06+08:00
8JWS_1	127	4312	842021	https://api.colabfold.com	{"queued":16}	5	ok		2026-09-25T22:46:17+08:00
36IW_1	128	13036	2542478	https://api.colabfold.com	{"queued":17}	37	ok		2026-09-25T22:47:01+08:00
8PKR_1	128	22525	4382220	https://api.colabfold.com	{"queued":17}	117	ok		2026-09-25T22:49:05+08:00
8QF3_1	128	11577	2209734	https://api.colabfold.com	{"queued":26}	5	ok		2026-09-25T22:49:17+08:00
8R5K_1	128	16075	3155115	https://api.colabfold.com	{"queued":32}	12	ok		2026-09-25T22:49:36+08:00
8JMY_1	129	2616	514989	https://api.colabfold.com	{"queued":20}	6	ok		2026-09-25T22:49:47+08:00
8KAC_1	129	160	31212	https://api.colabfold.com	{"queued":20}	5	ok		2026-09-25T22:49:58+08:00
38LI_1	130	14682	2900741	https://api.colabfold.com	{"queued":25}	96	ok		2026-09-25T22:51:40+08:00
8R8A_1	130	7879	1577735	https://api.colabfold.com	{"queued":17}	70	ok		2026-09-25T22:52:56+08:00
8RU5_1	130	8562	1678342	https://api.colabfold.com	{"queued":17}	7	ok		2026-09-25T22:53:09+08:00
8T2M_1	130	7092	1384624	https://api.colabfold.com	{"queued":21}	67	ok		2026-09-25T22:54:22+08:00
8PHX_1	132	18575	3741392	https://api.colabfold.com	{"queued":21}	139	ok		2026-09-25T22:56:47+08:00
8JZA_1	134	9667	1900357	https://api.colabfold.com	{"queued":15}	66	ok		2026-09-25T22:58:00+08:00
8RKP_1	134	2848	568399	https://api.colabfold.com	{"queued":6}	5	ok		2026-09-25T22:58:10+08:00
27JK_1	137	1754	355337	https://api.colabfold.com	{"queued":8}	50	ok		2026-09-25T22:59:06+08:00
8K4M_1	137	47	9447	https://api.colabfold.com	{"queued":15}	4	ok		2026-09-25T22:59:16+08:00
8RCY_1	137	13650	2859421	https://api.colabfold.com	{"queued":24}	107	ok		2026-09-25T23:01:11+08:00
8PZO_1	138	530	106750	https://api.colabfold.com	{"queued":23}	5	ok		2026-09-25T23:01:22+08:00
35TM_1	139	3818	787480	https://api.colabfold.com	{"queued":24}	5	ok		2026-09-25T23:01:33+08:00
8JU8_1	139	2	296	https://api.colabfold.com	{"queued":18}	6	ok		2026-09-25T23:01:44+08:00
8PHN_1	139	23111	4812800	https://api.colabfold.com	{"queued":20}	162	ok		2026-09-25T23:04:33+08:00
10UV_1	140	109	23094	https://api.colabfold.com	{"queued":31}	35	ok		2026-09-25T23:05:14+08:00
8QOK_1	140	15486	3174367	https://api.colabfold.com	{"queued":29}	59	ok		2026-09-25T23:06:28+08:00
8K75_1	141	317	64891	https://api.colabfold.com	{"queued":22}	73	ok		2026-09-25T23:07:51+08:00
29LW_1	142	11415	2393438	https://api.colabfold.com	{"queued":29}	93	ok		2026-09-25T23:09:31+08:00
8QH6_1	143	1190	247489	https://api.colabfold.com	{"queued":31}	5	ok		2026-09-25T23:09:43+08:00
10JX_1	145	8306	1767608	https://api.colabfold.com	{"queued":29}	6	ok		2026-09-25T23:09:56+08:00
32JG_1	145	11377	2365979	https://api.colabfold.com	{"queued":32}	68	ok		2026-09-25T23:11:11+08:00
11CH_1	146	1359	290153	https://api.colabfold.com	{"queued":20}	50	ok		2026-09-25T23:12:09+08:00
12IS_1	146	302	63541	https://api.colabfold.com	{"queued":21}	74	ok		2026-09-25T23:13:29+08:00
12XX_1	146	2	310	https://api.colabfold.com	{"queued":3}	43	ok		2026-09-25T23:14:19+08:00
37JY_1	147	420	90005	https://api.colabfold.com	{"queued":13}	49	ok		2026-09-25T23:15:14+08:00
8T4C_1	147	4789	1026660	https://api.colabfold.com	{"queued":19}	7	ok		2026-09-25T23:15:28+08:00
8JWD_1	148	645	137022	https://api.colabfold.com	{"queued":22}	26	ok		2026-09-25T23:16:00+08:00
8PJ7_1	148	4906	1067336	https://api.colabfold.com	{"queued":14}	145	ok		2026-09-25T23:18:31+08:00
8PVZ_1	148	14892	3194679	https://api.colabfold.com	{"queued":1}	7	ok		2026-09-25T23:18:46+08:00
8QKY_1	148	12356	2676815	https://api.colabfold.com	{"queued":0}	52	ok		2026-09-25T23:19:45+08:00
7H47_1	150	976	209054	https://api.colabfold.com	{"queued":28}	5	ok		2026-09-25T23:19:55+08:00
8JYI_1	151	10926	2472617	https://api.colabfold.com	{"queued":30}	60	ok		2026-09-25T23:21:01+08:00
8KAA_1	151	7350	1606788	https://api.colabfold.com	{"queued":22}	59	ok		2026-09-25T23:22:06+08:00
32OA_1	152	4578	1010654	https://api.colabfold.com	{"queued":17}	6	ok		2026-09-25T23:22:19+08:00
8PYV_1	152	3892	844875	https://api.colabfold.com	{"queued":22}	8	ok		2026-09-25T23:22:34+08:00
8PYW_1	152	16395	3620035	https://api.colabfold.com	{"queued":22}	65	ok		2026-09-25T23:23:46+08:00
22LX_1	153	2	324	https://api.colabfold.com	{"queued":11}	38	ok		2026-09-25T23:24:30+08:00
32QT_1	153	4601	1017571	https://api.colabfold.com	{"queued":15}	8	ok		2026-09-25T23:24:44+08:00
8RYS_1	153	1271	283570	https://api.colabfold.com	{"queued":19}	6	ok		2026-09-25T23:24:57+08:00
8T5A_1	153	4333	949654	https://api.colabfold.com	{"queued":14}	6	ok		2026-09-25T23:25:09+08:00
8PQR_1	154	2024	448210	https://api.colabfold.com	{"queued":14}	5	ok		2026-09-25T23:25:23+08:00
8Q6M_1	154	14845	3335200	https://api.colabfold.com	{"queued":14}	6	ok		2026-09-25T23:25:35+08:00
10DA_1	155	9443	2093003	https://api.colabfold.com	{"queued":14}	46	ok		2026-09-25T23:26:28+08:00
8KHU_1	155	880	188595	https://api.colabfold.com	{"queued":8}	6	ok		2026-09-25T23:26:40+08:00
10UT_1	156	92	20206	https://api.colabfold.com	{"queued":1}	45	ok		2026-09-25T23:27:31+08:00
8JUC_1	156	12644	2827633	https://api.colabfold.com	{"queued":14}	14	ok		2026-09-25T23:27:52+08:00
8T7K_1	156	2459	548337	https://api.colabfold.com	{"queued":12}	5	ok		2026-09-25T23:28:03+08:00
8PX5_1	157	8609	1929486	https://api.colabfold.com	{"queued":10}	7	ok		2026-09-25T23:28:17+08:00
26JK_1	158	14594	3311977	https://api.colabfold.com	{"queued":15}	13	ok		2026-09-25T23:28:37+08:00
8RIJ_1	158	15633	3603334	https://api.colabfold.com	{"queued":12}	9	ok		2026-09-25T23:28:53+08:00
10UW_1	160	73	16255	https://api.colabfold.com	{"queued":16}	55	ok		2026-09-25T23:29:54+08:00
8K6G_1	160	5527	1244351	https://api.colabfold.com	{"queued":14}	8	ok		2026-09-25T23:30:09+08:00
8QFU_1	160	181	40680	https://api.colabfold.com	{"queued":19}	42	ok		2026-09-25T23:30:57+08:00
13EE_1	161	440	99660	https://api.colabfold.com	{"queued":12}	8	ok		2026-09-25T23:31:11+08:00
28DB_1	161	7622	1770205	https://api.colabfold.com	{"queued":10}	129	ok		2026-09-25T23:33:27+08:00
8QIY_1	162	15190	3473741	https://api.colabfold.com	{"queued":13}	8	ok		2026-09-25T23:33:42+08:00
8K4I_1	163	10118	2316360	https://api.colabfold.com	{"queued":5}	7	ok		2026-09-25T23:33:56+08:00
8Q4E_1	165	8171	2101595	https://api.colabfold.com	{"queued":9}	17	ok		2026-09-25T23:34:19+08:00
8QX6_1	165	2646	629051	https://api.colabfold.com	{"queued":9}	35	ok		2026-09-25T23:35:00+08:00
8R5N_1	165	2557	600018	https://api.colabfold.com	{"queued":20}	46	ok		2026-09-25T23:35:52+08:00
27AA_1	166	9397	2273847	https://api.colabfold.com	{"queued":11}	111	ok		2026-09-25T23:37:50+08:00
8PAQ_1	166	110	24773	https://api.colabfold.com	{"queued":1}	7	ok		2026-09-25T23:38:03+08:00
10UX_1	167	90	20841	https://api.colabfold.com	{"queued":6}	83	ok		2026-09-25T23:39:32+08:00
8QZV_1	167	7217	1682997	https://api.colabfold.com	{"queued":18}	39	ok		2026-09-25T23:40:18+08:00
8R2C_1	169	3459	837195	https://api.colabfold.com	{"queued":11}	8	ok		2026-09-25T23:40:32+08:00
26AO_1	170	18977	4612371	https://api.colabfold.com	{"queued":9}	134	ok		2026-09-25T23:42:53+08:00
26RW_1	170	2134	502304	https://api.colabfold.com	{"queued":14}	6	ok		2026-09-25T23:43:05+08:00
8Q6U_1	170	7911	1866800	https://api.colabfold.com	{"queued":30}	112	ok		2026-09-25T23:45:04+08:00
8RDD_1	170	580	140998	https://api.colabfold.com	{"queued":39}	6	ok		2026-09-25T23:45:16+08:00
8RRY_1	170	6423	1581984	https://api.colabfold.com	{"queued":32}	7	ok		2026-09-25T23:45:30+08:00
8RHR_1	171	14452	3497183	https://api.colabfold.com	{"queued":35}	84	ok		2026-09-25T23:47:01+08:00
10FS_1	172	9845	2346836	https://api.colabfold.com	{"queued":31}	8	ok		2026-09-25T23:47:15+08:00
24MP_1	173	597	143109	https://api.colabfold.com	{"queued":28}	57	ok		2026-09-25T23:48:18+08:00
30JI_1	173	2529	606507	https://api.colabfold.com	{"queued":24}	48	ok		2026-09-25T23:49:12+08:00
7HI9_1	173	5276	1285934	https://api.colabfold.com	{"queued":32}	69	ok		2026-09-25T23:50:27+08:00
21LR_1	174	7962	1900357	https://api.colabfold.com	{"queued":31}	156	ok		2026-09-25T23:53:09+08:00
8JQU_1	175	16151	3939615	https://api.colabfold.com	{"queued":27}	9	ok		2026-09-25T23:53:26+08:00
8K84_1	177	208	51124	https://api.colabfold.com	{"queued":29}	6	ok		2026-09-25T23:53:39+08:00
8QX5_1	177	1336	323655	https://api.colabfold.com	{"queued":20}	7	ok		2026-09-25T23:53:52+08:00
8S48_1	178	14495	3554447	https://api.colabfold.com	{"queued":18}	43	ok		2026-09-25T23:54:42+08:00
10AF_1	179	24685	6191879	https://api.colabfold.com	{"queued":24}	96	ok		2026-09-25T23:56:26+08:00
10CX_1	179	42	10196	https://api.colabfold.com	{"queued":10}	60	ok		2026-09-25T23:57:32+08:00
8POR_1	179	13923	3655968	https://api.colabfold.com	{"queued":24}	8	ok		2026-09-25T23:57:45+08:00
8R3N_1	179	14524	3600248	https://api.colabfold.com	{"queued":19}	108	ok		2026-09-25T23:59:40+08:00
